node,label,centrality_score,crisis_edge_strength,trust_edge_strength,betweenness_centrality,crisis_edge_norm,trust_edge_norm,betweenness_norm,NCI,BPKH_Network_Node,Bridge_Candidate
BPKH_Governance,BPKH Governance,0.33333333333333337,1.4830569574621484,1.5840553753811897,0.03333333333333333,0.9073156514135821,0.9691052171378607,1.0,0.9660157388516468,1,1
Hajj_Fund_Management,Hajj Fund Management,0.33333333333333337,1.0658117374654912,1.058789494348356,0.03333333333333333,0.6520502574072075,0.6477541371158392,1.0,0.8251659046453301,1,1
Public_Trust_Reputation,Public Trust / Reputation,0.33333333333333337,1.6345545843407103,0.0,0.03333333333333333,1.0,0.0,1.0,0.8,0,0
Corruption_Investigation,Corruption / Investigation,0.24000000000000005,0.0,1.6345545843407103,0.0,0.0,1.0,0.0,0.41600000000000004,0,0
Quota_Governance,Quota Governance,0.24000000000000005,0.0,1.2779501712973758,0.0,0.0,0.7818338913489578,0.0,0.3723667782697916,0,0
Governance_Oversight,Governance Oversight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
